cityName,country,lat,lng,temp,humidity,cloudiness,winds
mogadishu,so,2.04,45.34,76.61,100,88,18.03
peruibe,br,-24.32,-47.0,66.08,100,68,5.28
silvan,tr,38.14,41.01,75.2,53,0,6.93
tiksi,ru,71.64,128.87,50.33,77,92,3.89
sorland,no,67.67,12.69,64.91,81,56,5.61
mangan,in,27.5,88.54,43.67,95,24,1.36
goba,et,7.01,39.97,46.91,83,0,3.38
esso,ru,55.93,158.7,55.46,100,92,2.37
kankon,in,15.02,74.02,79.4,100,92,15.08
cervo,es,-22.19,-46.24,58.25,95,44,2.37
along,in,28.17,94.8,67.43,98,92,1.25
kodinsk,ru,58.6,99.18,45.74,77,0,6.4
khasan,ru,42.43,130.64,70.22,100,8,1.25
kawalu,id,-7.38,108.21,62.66,100,76,1.77
raipur,in,21.24,81.63,78.5,84,24,9.53
havoysund,no,71.0,24.66,69.84,72,0,13.87
carnarvon,au,-30.97,22.13,37.19,50,0,5.91
butaritari,ki,3.07,172.79,84.08,100,0,1.99
luderitz,na,-26.65,15.16,51.14,92,8,6.73
russell,nz,-33.01,-68.8,62.6,56,0,6.93
la ronge,ca,55.1,-105.3,73.4,53,90,11.41
znamenskoye,ru,57.13,73.82,46.82,79,0,2.77
doha,kw,25.29,51.53,95.0,34,0,2.24
yulara,au,-25.24,130.99,46.4,45,90,5.82
camacha,pt,33.08,-16.33,72.64,73,20,6.93
rosetta,eg,31.4,30.42,72.38,94,0,4.83
mirzapur,bd,25.15,82.57,76.16,97,92,9.6
new norfolk,au,-42.78,147.06,50.0,53,40,21.92
anuchino,ru,43.97,133.06,68.06,89,12,2.21
sangar,ru,63.92,127.47,53.57,90,0,1.81
ndago,tz,-0.97,29.98,58.16,100,76,2.59
varias,ro,46.02,20.95,72.52,88,8,3.36
cap malheureux,mu,-19.98,57.61,68.0,88,40,1.12
san patricio,mx,-26.98,-56.83,61.58,67,0,5.12
kruisfontein,za,-34.0,24.73,51.86,89,0,7.07
severo-yeniseyskiy,ru,60.37,93.04,44.39,80,20,4.5
nyurba,ru,63.29,118.35,58.25,88,76,4.79
xining,cn,36.62,101.77,52.76,100,88,2.71
pacasmayo,pe,-7.4,-79.57,63.83,98,0,14.63
xiongzhou,cn,32.34,118.83,77.0,100,0,2.24
champerico,gt,16.38,-93.6,77.6,94,12,2.33
zaraza,ve,9.35,-65.33,78.86,96,68,5.39
aykhal,ru,65.95,111.51,55.28,83,48,2.71
muli,mv,22.62,71.45,80.03,80,80,10.38
ponta do sol,cv,-20.63,-46.0,74.09,36,0,6.35
jiuquan,cn,39.73,98.49,59.06,80,0,2.33
thompson,ca,55.74,-97.86,55.4,76,90,4.7
kavaratti,in,10.57,72.64,81.56,99,92,19.6
sept-iles,ca,50.2,-66.38,73.4,60,40,5.82
eydhafushi,mv,5.1,73.07,82.73,99,76,15.12
bethel,us,60.79,-161.76,60.8,77,90,10.29
buchanan,lr,5.88,-10.05,77.0,83,75,6.93
mundgod,in,14.97,75.04,71.39,99,92,6.29
selenduma,ru,50.92,106.24,45.65,86,0,2.71
bayog,ph,7.85,123.04,72.2,100,56,2.48
nanortalik,gl,60.14,-45.24,39.8,98,56,2.37
takapau,nz,-40.02,176.35,40.7,78,80,6.85
malacacheta,br,-17.84,-42.08,72.2,46,0,5.39
saint-philippe,re,45.36,-73.48,81.45,45,1,4.7
namtsy,ru,62.72,129.66,57.62,86,0,3.71
calamar,co,1.96,-72.65,76.25,88,92,3.0
bilma,ne,18.69,12.92,81.65,21,0,3.38
hami,cn,42.84,93.51,76.43,59,80,12.88
nanchang,cn,28.68,115.89,77.24,88,0,1.21
suicheng,cn,33.9,117.93,77.42,92,0,3.56
bambous virieux,mu,-20.34,57.76,68.0,88,40,1.12
flinders,au,-34.58,150.85,41.0,65,0,9.93
kaili,cn,-3.46,120.21,64.73,89,12,2.1
kenai,us,60.55,-151.26,65.32,68,40,5.82
nanaimo,ca,49.17,-123.94,81.32,31,75,4.7
high rock,bs,26.63,-78.28,87.8,70,75,8.05
dingle,ie,11.0,122.67,74.45,95,48,4.72
poum,nc,41.28,20.71,66.2,82,40,2.24
mount isa,au,-20.73,139.49,39.2,60,0,8.14
surab,pk,28.49,66.26,56.36,28,0,2.48
wenling,cn,28.38,121.38,79.58,100,0,4.12
rochegda,ru,62.67,43.41,54.11,84,0,2.21
codrington,ag,-28.95,153.24,38.0,83,0,3.27
buraydah,sa,26.33,43.97,91.4,31,0,3.36
diest,be,50.98,5.05,71.24,77,76,3.36
grand gaube,mu,-20.01,57.66,68.0,88,40,1.12
yarmouth,ca,50.71,-1.5,62.6,88,20,6.93
pevek,ru,69.7,170.27,45.65,94,92,5.12
tukan,ru,53.84,57.45,55.1,67,0,6.73
alexandria,eg,31.31,-92.44,81.57,78,20,3.36
arraial do cabo,br,-22.97,-42.02,71.6,78,75,10.29
lebu,cl,8.96,38.73,49.7,89,36,2.55
hasaki,jp,35.73,140.83,75.2,100,20,2.24
lima,pe,-12.06,-77.04,67.16,64,20,3.04
sol-iletsk,ru,51.16,55.0,72.29,50,0,11.83
sobolevo,ru,54.43,31.9,63.29,84,0,8.52
hit,iq,33.64,42.83,85.7,25,0,8.59
bandar,id,-4.2,104.14,74.72,90,32,5.5
nome,us,30.04,-94.42,93.6,47,1,5.06
padang,id,-0.92,100.36,81.11,100,24,0.54
constantine,dz,36.36,6.61,71.6,35,0,4.7
castro,cl,-42.48,-73.76,46.1,77,92,2.55
santa rosa,bo,-36.62,-64.29,50.33,42,0,5.06
namatanai,pg,-3.66,152.44,81.65,100,32,9.31
topsham,us,50.69,-3.47,62.6,82,75,5.82
sitka,us,37.17,-99.65,75.35,92,36,7.92
cabo san lucas,mx,22.89,-109.91,83.36,99,0,6.91
ostrovnoy,ru,68.05,39.51,70.22,52,12,14.18
palu,id,-0.9,119.87,65.63,96,64,1.25
thinadhoo,mv,0.53,72.93,82.01,100,8,6.06
wagar,sd,31.44,-87.99,82.64,87,48,2.82
zhangye,cn,38.94,100.46,64.01,82,0,5.28
sayyan,ye,15.17,44.32,66.71,36,100,3.6
taveta,ke,-3.4,37.68,69.8,77,75,5.5
port lincoln,au,-34.72,135.86,56.63,88,0,19.15
erzin,ru,36.95,36.2,81.48,65,40,12.75
ennis,ie,52.84,-8.98,57.2,71,20,10.29
karachi,pk,24.87,67.03,82.4,74,75,13.87
saint-louis,sn,47.59,7.56,71.55,69,0,4.7
labuhan,id,-2.54,115.51,70.58,95,36,2.1
sciacca,it,37.51,13.08,78.8,88,0,5.82
port blair,in,11.67,92.75,80.66,100,92,23.24
sampit,id,-2.54,112.95,72.56,96,32,2.89
vila,vu,45.18,8.4,77.92,65,0,2.24
moree,au,-29.46,149.84,35.12,79,0,1.99
hirara,jp,24.8,125.28,85.07,97,0,12.39
wageningen,sr,51.98,5.66,70.86,78,40,11.41
carlton,gb,46.66,-92.42,81.88,28,40,10.29
evensk,ru,61.92,159.24,55.01,100,92,13.67
yekaterinovka,ru,46.69,38.75,85.43,41,48,15.08
ahuimanu,us,21.44,-157.84,85.59,74,75,9.17
constitucion,mx,23.99,-104.67,85.16,35,8,7.29
herat,af,34.35,62.22,67.16,31,0,11.05
sovetskiy,ru,56.76,48.47,55.55,79,0,6.8
aswan,eg,24.09,32.9,86.78,27,0,10.76
pacific grove,us,36.62,-121.92,71.42,31,1,11.41
nouna,bf,12.73,-3.87,71.3,98,80,10.94
nikki,bj,9.94,3.21,73.1,93,80,9.04
bako,et,9.68,6.4,73.91,95,76,2.48
ribeira grande,pt,38.52,-28.7,71.93,100,0,7.74
lambarene,ga,-0.7,10.22,73.91,86,44,4.9
qaanaaq,gl,77.48,-69.36,40.43,85,88,2.37
sioux lookout,ca,50.1,-91.92,81.66,39,90,2.24
kasangulu,cd,-4.59,15.17,76.1,65,40,11.41
westerland,de,52.89,4.93,68.38,77,75,10.29
nizwa,om,22.93,57.53,87.41,38,36,2.77
miyako,jp,33.63,130.94,81.55,74,75,4.7
yuzhnyy,ru,53.54,39.45,69.41,65,68,10.38
henties bay,na,-22.12,14.28,52.4,100,0,3.89
at-bashi,kg,41.17,75.81,36.92,90,0,0.98
lakes entrance,au,-37.88,147.99,55.46,66,36,15.41
mnogovershinnyy,ru,53.94,139.92,58.61,93,0,2.82
cerro largo,br,-28.15,-54.74,55.46,81,0,7.14
georgetown,sh,6.8,-58.16,82.4,83,20,9.17
yining,cn,29.04,114.56,71.93,90,20,2.1
nuuk,gl,64.17,-51.74,53.6,54,5,9.17
sulangan,ph,11.14,123.72,83.45,100,24,16.91
chuy,uy,-33.69,-53.46,54.38,81,80,6.24
voyvozh,ru,62.89,54.96,54.65,78,0,5.5
lexington park,us,38.26,-76.45,73.4,88,90,5.82
moose factory,ca,51.26,-80.61,62.6,72,1,10.29
palembang,id,-2.99,104.76,77.0,88,0,4.7
sao jose da coroa grande,br,-8.9,-35.15,75.35,85,92,10.38
preobrazheniye,ru,42.9,133.91,68.24,92,0,1.88
lewisporte,ca,49.25,-55.06,75.2,64,75,6.93
goure,ne,13.98,10.27,71.66,98,36,7.25
mirnyy,ru,56.57,36.46,61.76,68,0,9.82
talara,pe,-4.58,-81.27,77.51,60,0,8.93
adrar,dz,27.87,-0.29,105.8,10,0,10.29
darhan,mn,49.49,105.92,48.44,86,64,2.71
matara,lk,-13.74,-72.9,61.13,23,0,2.55
moyale,et,3.52,39.05,64.01,90,32,1.59
yar-sale,ru,66.83,70.83,49.43,99,8,24.7
ambikapur,in,23.12,83.2,72.56,98,92,6.35
saint-francois,gp,46.42,3.91,73.4,53,0,2.24
tyup,kg,42.73,78.36,42.59,100,24,2.48
kropotkin,ru,45.43,40.58,77.6,62,0,2.82
ayutla,mx,20.13,-104.35,82.91,45,24,3.33
tura,ru,25.52,90.21,74.99,100,80,1.7
bereda,so,43.27,-7.54,64.4,82,75,2.24
monterey,us,36.6,-121.89,72.37,77,40,12.75
tongren,cn,27.72,109.18,71.39,91,20,2.48
honningsvag,no,70.98,25.97,72.28,72,0,13.87
guerrero negro,mx,27.97,-114.04,85.79,52,0,11.54
araouane,ml,18.9,-3.53,95.33,23,0,11.65
nagato,jp,34.35,131.14,78.69,74,75,4.7
prince albert,ca,53.2,-105.75,84.2,48,90,8.05
bathsheba,bb,13.22,-59.52,82.4,78,75,26.4
suntar,ru,62.16,117.65,58.97,88,92,4.61
skegness,gb,53.14,0.34,66.79,72,75,8.05
wajima,jp,37.4,136.9,77.96,97,0,3.27
yerky,ua,49.93,33.53,76.16,54,0,12.1
bilibino,ru,68.06,166.44,53.66,95,92,2.59
nurota,uz,40.56,65.69,77.0,16,0,4.7
petropavlovsk-kamchatskiy,ru,53.05,158.65,57.2,87,75,4.47
inhambane,mz,-23.87,35.38,66.35,100,0,2.1
vestmannaeyjar,is,63.44,-20.27,52.85,89,24,15.9
toora-khem,ru,52.47,96.11,41.96,88,0,2.1
salym,ru,60.06,71.48,55.01,86,8,3.27
chernyshevskiy,ru,63.01,112.47,53.66,89,20,2.71
acapulco,mx,16.86,-99.88,89.03,61,24,10.76
salalah,om,17.01,54.1,75.98,96,100,9.31
aklavik,ca,68.22,-135.01,73.4,60,75,8.05
povarovo,ru,56.08,37.05,59.83,82,0,2.24
jamsa,fi,61.86,25.19,71.6,60,0,3.36
san quintin,mx,17.54,120.52,77.0,100,20,2.24
rapar,in,23.57,70.65,80.3,81,80,11.83
birao,cf,10.3,22.78,74.81,82,24,6.62
shubarshi,kz,48.59,57.19,81.56,31,92,6.91
nisia floresta,br,-6.09,-35.21,78.8,78,20,11.41
clarence town,bs,-32.59,151.78,48.2,57,0,12.75
umm kaddadah,sd,13.6,26.69,79.4,52,32,8.3
beinamar,td,8.67,15.38,70.4,94,88,7.07
balkhash,kz,46.84,74.98,67.88,89,0,8.3
yenagoa,ng,4.92,6.26,70.94,92,12,6.02
maningrida,au,-12.05,134.23,71.66,90,8,12.1
maryville,us,40.35,-94.87,76.73,83,1,3.36
kristiansund,no,63.12,7.73,64.62,88,0,4.7
broken hill,au,-31.97,141.45,46.19,72,36,11.05
melita,ca,49.27,-100.98,88.04,29,0,8.3
skibbereen,ie,51.55,-9.27,53.6,87,20,8.05
thouars,fr,46.98,-0.22,68.86,68,0,3.36
ambulu,id,-8.35,113.61,72.11,100,80,5.57
limoux,fr,43.05,2.22,80.6,61,0,3.36
tongliao,cn,43.61,122.27,76.43,86,32,5.84
gari,ru,59.43,62.35,53.03,71,0,4.61
sao felix do xingu,br,-6.64,-51.99,80.75,77,24,2.33
ninghai,cn,29.29,121.42,80.6,88,0,2.24
tateyama,jp,36.66,137.31,77.0,83,40,2.24
santa isabel do rio negro,br,-0.41,-65.02,73.91,100,92,3.38
beroroha,mg,-21.68,45.17,57.44,92,0,2.77
tessalit,ml,20.2,1.01,97.31,15,0,12.39
namibe,ao,-15.19,12.15,65.36,100,0,12.88
victor harbor,au,-35.55,138.62,53.6,93,75,14.99
gambiran,id,-7.93,111.77,67.88,96,44,2.89
phan thiet,vn,10.93,108.1,76.79,100,20,9.82
atambua,id,-9.11,124.89,71.66,100,8,7.4
birjand,ir,32.86,59.22,68.0,16,0,12.1
shimoda,jp,34.7,138.93,78.8,88,40,1.12
kandi,in,11.13,2.93,73.28,93,56,5.61
sao filipe,cv,14.9,-24.5,76.25,98,36,10.6
gatbo,ph,13.58,123.38,78.05,100,24,4.72
pisco,pe,-13.71,-76.2,68.0,64,0,10.29
moerai,pf,-22.43,-151.33,70.67,100,68,10.31
hoquiam,us,46.98,-123.89,75.43,77,40,12.75
borovskoy,kz,53.8,64.15,55.82,70,32,9.53
zhigansk,ru,66.77,123.37,59.78,54,0,4.05
chumikan,ru,54.72,135.31,57.17,92,24,3.89
tuatapere,nz,-46.13,167.69,49.43,99,76,9.75
gushikawa,jp,26.35,127.87,83.01,88,1,6.93
jega,ng,12.22,4.38,72.38,95,20,3.0
sabha,ly,27.03,14.43,85.97,16,0,12.17
baie-comeau,ca,49.22,-68.15,76.08,56,1,17.22
half moon bay,us,37.46,-122.43,72.7,87,90,10.29
caruray,ph,10.31,119.01,79.58,100,88,11.88
qasigiannguit,gl,68.82,-51.19,50.0,46,5,4.7
tral,in,33.93,75.11,44.39,67,0,2.1
kathu,th,-27.7,23.05,48.8,39,8,6.62
vila velha,br,-3.71,-38.6,78.8,78,0,13.87
warwick,au,41.7,-71.42,75.85,61,90,9.17
ostersund,se,63.18,14.64,69.8,83,0,10.29
shenjiamen,cn,29.96,122.3,81.74,97,0,5.79
tromso,no,69.65,18.96,68.0,82,0,2.24
rio verde de mato grosso,br,-18.92,-54.84,82.64,36,0,7.07
ancud,cl,-41.87,-73.83,46.82,77,80,2.26
tilichiki,ru,60.47,166.1,51.32,97,92,8.25
sterling,us,39.0,-77.4,71.6,100,90,12.75
ourossogui,sn,15.61,-13.32,89.6,66,0,4.7
sorrento,it,-31.82,115.75,43.39,93,0,8.05
jever,de,53.57,7.9,76.24,64,75,4.7
karpogory,ru,64.0,44.44,55.91,89,0,2.33
halifax,ca,44.65,-63.58,78.89,57,90,8.05
sindor,ru,62.87,51.9,54.29,81,0,3.6
alyangula,au,-13.85,136.42,73.1,100,0,13.96
shingu,jp,33.72,135.99,80.39,99,92,13.29
rairangpur,in,22.27,86.18,72.38,97,92,3.33
kloulklubed,pw,7.04,134.26,78.8,88,90,5.82
raudeberg,no,61.99,5.14,64.44,93,88,8.05
springbok,za,-29.67,17.88,42.14,63,8,6.8
faanui,pf,-16.48,-151.75,79.4,100,0,6.06
boa vista,br,2.82,-60.67,82.4,78,40,1.12
nouadhibou,mr,20.93,-17.03,73.4,73,32,20.8
te anau,nz,-45.41,167.72,42.05,88,20,8.14
